0.93 	0.52 	0.14 	0.00 	0.51 	79	8
1.05 	0.44 	0.18 	0.00 	0.43 	56	30
1.04 	0.47 	0.19 	0.00 	0.47 	68	28
0.97 	0.48 	0.16 	0.34 	0.53 	51	18
0.95 	0.53 	0.17 	1.67 	0.48 	44	22
1.17 	0.61 	0.34 	0.14 	0.60 	60	19
0.92 	0.59 	0.39 	0.00 	0.57 	66	9
1.09 	0.43 	0.41 	0.00 	0.42 	71	19
1.11 	0.49 	0.39 	0.00 	0.49 	80	20
0.98 	0.47 	0.37 	0.17 	0.51 	44	21
0.94 	0.51 	0.35 	1.20 	0.50 	110	24
1.32 	1.08 	0.98 	0.14 	1.09 	64	17
1.47 	0.76 	0.96 	0.00 	0.76 	42	20
1.11 	0.89 	0.92 	0.00 	0.87 	54	9
1.39 	0.99 	0.99 	0.00 	0.98 	90	7
1.54 	0.81 	0.95 	0.12 	0.82 	120	30
1.48 	0.92 	0.93 	1.06 	0.91 	62	30
2.31 	1.89 	0.08 	0.12 	0.21 	150	9
2.01 	2.24 	0.09 	0.00 	0.25 	86	11
2.23 	2.11 	0.19 	0.00 	0.24 	31	12
1.99 	1.92 	0.17 	0.00 	0.18 	108	10
1.92 	2.08 	0.16 	0.09 	0.22 	100	23
3.33 	3.23 	0.31 	0.17 	0.83 	83	12
3.41 	2.85 	0.29 	0.00 	0.90 	80	7
3.01 	3.04 	0.31 	0.00 	0.85 	79	13
2.96 	2.96 	0.35 	0.22 	0.83 	49	24
3.35 	2.82 	0.34 	1.32 	0.79 	83	7
5.71 	5.12 	0.50 	0.05 	1.12 	35	16
5.86 	4.66 	0.29 	0.00 	0.74 	65	12
5.59 	4.92 	0.44 	0.00 	0.89 	52	17
5.23 	4.81 	0.39 	0.00 	0.97 	85	12
5.04 	5.09 	0.35 	0.09 	0.86 	55	10
5.08 	5.22 	0.41 	0.98 	0.88 	80	12
8.99 	7.56 	0.12 	0.05 	1.11 	66	21
8.10 	7.24 	0.04 	0.00 	0.75 	46	21
7.79 	6.88 	0.08 	0.00 	0.98 	28	11
7.98 	6.84 	0.19 	0.12 	0.84 	70	25
8.05 	6.72 	0.21 	1.05 	0.90 	53	10
9.01 	13.18 	0.35 	0.03 	0.11 	50	30
8.82 	12.72 	0.27 	0.00 	0.10 	49	30
9.54 	12.78 	0.29 	0.00 	0.12 	120	9
8.67 	12.49 	0.26 	0.08 	0.12 	77	24
17.99 	16.99 	0.16 	0.08 	0.28 	40	20
17.14 	17.23 	0.23 	0.00 	0.30 	80	20
17.03 	16.54 	0.20 	0.00 	0.21 	70	28
17.15 	16.28 	0.30 	1.08 	0.26 	110	18
