,0
0,270.0
1,1300.0
2,420.0
3,530.0
4,1600.0
5,460.0
6,450.0
7,4600.0
8,660.0
9,520.0
10,160.0
11,1200.0
12,1600.0
13,440.0
14,1900.0
15,570.0
16,1200.0
17,430.0
18,1600.0
19,280.0
20,200.0
21,3750.0
22,200.0
23,930.0
24,240.0
25,1100.0
26,1000.0
27,1800.0
28,920.0
29,1500.0
30,250.0
31,5200.0
32,1100.0
33,2100.0
34,2200.0
35,5200.0
36,4600.0
37,2600.0
38,1700.0
39,1500.0
40,300.0
41,1400.0
42,150.0
43,530.0
44,1200.0
45,220.0
46,210.0
47,770.0
48,2200.0
49,2400.0
50,990.0
51,1200.0
52,630.0
53,680.0
54,1100.0
55,1400.0
56,300.0
57,840.0
58,590.0
59,960.0
60,2500.0
61,4600.0
62,220.0
63,970.0
64,1700.0
65,3100.0
66,1000.0
67,3800.0
68,1300.0
69,290.0
70,630.0
71,780.0
72,1300.0
73,4000.0
74,400.0
75,930.0
76,860.0
77,270.0
78,710.0
79,1200.0
80,1400.0
81,1300.0
82,620.0
83,1200.0
84,1100.0
85,890.0
86,300.0
87,950.0
88,230.0
89,3800.0
90,2000.0
91,420.0
92,630.0
93,970.0
94,2000.0
95,3300.0
96,1300.0
97,4000.0
98,1900.0
99,5000.0
100,660.0
101,150.0
102,3600.0
103,3000.0
104,220.0
105,1500.0
106,870.0
107,1100.0
108,100.0
109,420.0
110,1500.0
111,2400.0
112,700.0
113,1000.0
114,2200.0
115,1900.0
116,1600.0
117,1300.0
118,1000.0
119,1100.0
120,5500.0
121,1600.0
122,1200.0
123,4000.0
124,870.0
125,5100.0
126,3300.0
127,1300.0
128,1000.0
129,1000.0
130,670.0
131,1700.0
132,970.0
133,390.0
134,1000.0
135,240.0
136,330.0
137,180.0
138,880.0
139,130.0
140,1700.0
141,1100.0
142,1900.0
143,1300.0
144,2000.0
145,1400.0
146,1000.0
147,1500.0
148,1800.0
149,2000.0
150,730.0
151,1600.0
152,310.0
153,1900.0
154,1100.0
155,840.0
156,165.0
157,2100.0
158,310.0
159,430.0
160,1600.0
161,520.0
162,1900.0
163,480.0
164,2100.0
165,430.0
166,400.0
167,2600.0
168,300.0
169,2100.0
170,560.0
171,550.0
172,630.0
173,270.0
174,580.0
175,180.0
176,4200.0
177,1500.0
178,1200.0
179,840.0
180,770.0
181,1700.0
182,580.0
183,550.0
184,850.0
185,1300.0
186,630.0
187,1500.0
188,960.0
189,6300.0
190,3600.0
191,1100.0
192,720.0
193,2300.0
194,880.0
195,450.0
196,2200.0
197,1800.0
198,330.0
199,1500.0
200,850.0
201,700.0
202,4800.0
203,930.0
204,1800.0
205,1300.0
206,1200.0
207,1500.0
208,840.0
209,340.0
210,330.0
211,670.0
212,1400.0
213,3800.0
214,750.0
215,840.0
216,260.0
217,5000.0
218,860.0
219,750.0
220,2100.0
221,1000.0
222,1700.0
223,860.0
224,720.0
225,1700.0
226,1900.0
227,3300.0
228,1400.0
229,1200.0
230,1300.0
231,50.0
232,800.0
233,2200.0
234,370.0
235,1500.0
236,3400.0
237,1100.0
238,3900.0
239,1900.0
240,620.0
241,5200.0
242,720.0
243,530.0
244,1400.0
245,1000.0
246,1200.0
247,1100.0
248,500.0
249,560.0
250,4200.0
251,350.0
252,970.0
253,200.0
254,1900.0
255,450.0
256,1500.0
257,570.0
258,1000.0
259,2900.0
260,960.0
261,5800.0
262,1600.0
263,2000.0
264,660.0
265,900.0
266,1000.0
267,360.0
268,1300.0
269,1500.0
270,470.0
271,240.0
272,830.0
273,800.0
274,580.0
275,400.0
276,940.0
277,2500.0
278,970.0
279,470.0
280,690.0
281,1100.0
282,2200.0
283,1700.0
284,780.0
285,2400.0
286,670.0
287,2700.0
288,700.0
289,3100.0
290,960.0
291,480.0
292,460.0
293,830.0
294,740.0
295,460.0
296,6300.0
297,2100.0
298,520.0
299,270.0
300,1000.0
301,2500.0
302,1000.0
303,830.0
304,500.0
305,650.0
306,2200.0
307,330.0
308,740.0
309,1400.0
310,990.0
311,2700.0
312,610.0
313,1000.0
314,3300.0
315,3400.0
316,1500.0
317,1600.0
318,1200.0
319,530.0
320,700.0
321,430.0
322,240.0
323,1300.0
324,2300.0
325,4000.0
326,1800.0
327,1100.0
328,980.0
329,110.0
330,570.0
331,1900.0
332,1300.0
333,740.0
334,1100.0
